event_id,user_id,event_time,event_name
1,100001,2026-01-09 12:50:00,visit
2,100001,2026-01-09 16:00:00,signup
3,100001,2026-01-09 18:01:00,onboarding_complete
4,100001,2026-01-27 16:00:00,app_open
5,100002,2026-03-11 13:28:00,visit
6,100002,2026-03-11 14:00:00,signup
7,100002,2026-03-11 14:51:00,onboarding_complete
8,100003,2026-02-28 07:54:00,visit
9,100003,2026-02-28 08:00:00,signup
10,100003,2026-02-28 09:06:00,onboarding_complete
11,100003,2026-03-02 08:00:00,add_payment_method
12,100003,2026-03-08 08:00:00,app_open
13,100003,2026-03-30 08:00:00,app_open
14,100004,2026-02-09 14:11:00,visit
15,100004,2026-02-09 16:00:00,signup
16,100004,2026-02-09 16:46:00,onboarding_complete
17,100004,2026-02-11 16:00:00,add_payment_method
18,100004,2026-02-12 16:00:00,purchase
19,100004,2026-03-19 16:00:00,app_open
20,100005,2026-02-08 13:37:00,visit
21,100005,2026-02-08 14:00:00,signup
22,100006,2026-03-19 11:33:00,visit
23,100006,2026-03-19 14:00:00,signup
24,100006,2026-03-19 15:19:00,onboarding_complete
25,100006,2026-03-21 14:00:00,add_payment_method
26,100006,2026-03-30 14:00:00,app_open
27,100007,2026-01-08 14:01:00,visit
28,100007,2026-01-08 15:00:00,signup
29,100007,2026-01-22 15:00:00,app_open
30,100008,2026-03-04 13:14:00,visit
31,100008,2026-03-04 17:00:00,signup
32,100008,2026-03-04 19:20:00,onboarding_complete
33,100008,2026-03-05 17:00:00,add_payment_method
34,100008,2026-03-05 17:00:00,purchase
35,100008,2026-03-10 17:00:00,app_open
36,100008,2026-03-24 17:00:00,app_open
37,100008,2026-03-26 17:00:00,app_open
38,100009,2026-01-19 07:31:00,visit
39,100009,2026-01-19 08:00:00,signup
40,100009,2026-01-19 08:43:00,onboarding_complete
41,100010,2026-01-09 17:19:00,visit
42,100010,2026-01-09 18:00:00,signup
43,100010,2026-01-09 18:25:00,onboarding_complete
44,100010,2026-01-10 18:00:00,add_payment_method
45,100010,2026-01-14 18:00:00,purchase
